Meal_ID,Dish_Name,Cuisine_Type,Meal_Type,Dietary_Preference,Main_Ingredients,Calories_per_Serving,Protein_Content(g),Difficulty_Level,Occasion_Type
M0035,Lemon Rice,South Indian,Lunch,Vegetarian,"Rice, Lemon, Spices",169,31,Hard,Party
M0036,Idli Sambar,South Indian,Dinner,Vegan,"Rice, Lentils, Vegetables",336,40,Medium,Festive
M0037,Chicken Chettinad,South Indian,Breakfast,Non-Vegetarian,"Chicken, Coconut, Spices",340,13,Hard,Festive
M0038,Chicken Chettinad,South Indian,Snack,Non-Vegetarian,"Chicken, Coconut, Spices",542,5,Easy,Restaurant-Special
M0039,Masala Dosa,South Indian,Snack,High-Protein,"Rice, Lentils, Potato",467,21,Hard,Festive
M0040,Chicken Chettinad,South Indian,Snack,Gluten-Free,"Chicken, Coconut, Spices",720,39,Hard,Party
M0041,Fish Curry,South Indian,Lunch,Non-Vegetarian,"Fish, Tamarind, Spices",434,40,Medium,Daily
M0042,Masala Dosa,South Indian,Dinner,High-Protein,"Rice, Lentils, Potato",410,26,Medium,Party
M0043,Pongal,South Indian,Snack,Vegan,"Rice, Moong Dal, Ghee",235,20,Medium,Restaurant-Special
M0044,Vada,South Indian,Lunch,Vegetarian,"Lentils, Spices",803,6,Easy,Restaurant-Special
M0045,Curd Rice,South Indian,Breakfast,Non-Vegetarian,"Rice, Curd, Spices",482,7,Medium,Restaurant-Special
M0046,Masala Dosa,South Indian,Snack,Gluten-Free,"Rice, Lentils, Potato",682,12,Medium,Party
M0047,Fish Curry,South Indian,Breakfast,Gluten-Free,"Fish, Tamarind, Spices",273,11,Easy,Party
M0048,Lemon Rice,South Indian,Breakfast,High-Protein,"Rice, Lemon, Spices",369,7,Hard,Daily
M0049,Rasam Rice,South Indian,Lunch,Non-Vegetarian,"Tamarind, Tomato, Spices",278,15,Medium,Daily
M0050,Masala Dosa,South Indian,Dinner,Gluten-Free,"Rice, Lentils, Potato",685,8,Hard,Daily
M0051,Pongal,South Indian,Breakfast,High-Protein,"Rice, Moong Dal, Ghee",406,30,Hard,Party
M0052,Idli Sambar,South Indian,Breakfast,Non-Vegetarian,"Rice, Lentils, Vegetables",404,27,Medium,Restaurant-Special
M0053,Pongal,South Indian,Snack,Keto,"Rice, Moong Dal, Ghee",294,21,Medium,Daily
M0054,Chicken Chettinad,South Indian,Lunch,Keto,"Chicken, Coconut, Spices",415,43,Hard,Restaurant-Special
M0055,Fish Curry,South Indian,Snack,Non-Vegetarian,"Fish, Tamarind, Spices",323,41,Hard,Restaurant-Special
M0056,Pongal,South Indian,Dinner,Gluten-Free,"Rice, Moong Dal, Ghee",662,39,Medium,Daily
M0057,Rasam Rice,South Indian,Lunch,Gluten-Free,"Tamarind, Tomato, Spices",209,35,Medium,Festive
M0058,Idli Sambar,South Indian,Breakfast,Vegan,"Rice, Lentils, Vegetables",181,25,Medium,Party
M0059,Rasam Rice,South Indian,Lunch,Vegetarian,"Tamarind, Tomato, Spices",277,19,Medium,Daily
M0060,Fish Curry,South Indian,Dinner,High-Protein,"Fish, Tamarind, Spices",241,37,Medium,Daily
M0061,Masala Dosa,South Indian,Snack,Gluten-Free,"Rice, Lentils, Potato",374,41,Easy,Party
M0062,Rasam Rice,South Indian,Snack,Vegetarian,"Tamarind, Tomato, Spices",604,12,Hard,Party
M0063,Rasam Rice,South Indian,Lunch,Vegan,"Tamarind, Tomato, Spices",242,41,Easy,Restaurant-Special
M0064,Fish Curry,South Indian,Lunch,Gluten-Free,"Fish, Tamarind, Spices",175,3,Easy,Festive
M0065,Fish Curry,South Indian,Lunch,High-Protein,"Fish, Tamarind, Spices",416,26,Easy,Festive
M0066,Vada,South Indian,Breakfast,High-Protein,"Lentils, Spices",341,10,Easy,Party
M0067,Upma,South Indian,Lunch,Gluten-Free,"Rava, Vegetables, Spices",617,27,Medium,Festive
M0068,Idli Sambar,South Indian,Dinner,Gluten-Free,"Rice, Lentils, Vegetables",893,12,Hard,Party
M0069,Pongal,South Indian,Lunch,Keto,"Rice, Moong Dal, Ghee",515,4,Easy,Party
M0070,Rasam Rice,South Indian,Snack,Keto,"Tamarind, Tomato, Spices",406,39,Hard,Restaurant-Special
M0071,Rasam Rice,South Indian,Breakfast,Gluten-Free,"Tamarind, Tomato, Spices",398,28,Medium,Restaurant-Special
M0072,Chicken Chettinad,South Indian,Lunch,Vegetarian,"Chicken, Coconut, Spices",160,8,Medium,Party
M0073,Upma,South Indian,Lunch,Vegetarian,"Rava, Vegetables, Spices",198,9,Hard,Festive
M0074,Masala Dosa,South Indian,Snack,Gluten-Free,"Rice, Lentils, Potato",473,17,Medium,Party
M0075,Idli Sambar,South Indian,Lunch,Non-Vegetarian,"Rice, Lentils, Vegetables",307,38,Easy,Party
M0076,Curd Rice,South Indian,Snack,Non-Vegetarian,"Rice, Curd, Spices",314,17,Medium,Restaurant-Special
M0077,Chicken Chettinad,South Indian,Snack,Gluten-Free,"Chicken, Coconut, Spices",676,14,Hard,Restaurant-Special
M0078,Lemon Rice,South Indian,Lunch,Vegetarian,"Rice, Lemon, Spices",446,42,Easy,Festive
M0079,Curd Rice,South Indian,Lunch,Vegetarian,"Rice, Curd, Spices",403,11,Medium,Daily
M0080,Pongal,South Indian,Dinner,Gluten-Free,"Rice, Moong Dal, Ghee",786,7,Medium,Daily
M0081,Fish Curry,South Indian,Lunch,Gluten-Free,"Fish, Tamarind, Spices",155,22,Easy,Daily
M0082,Masala Dosa,South Indian,Snack,Vegetarian,"Rice, Lentils, Potato",638,5,Medium,Festive
M0083,Lemon Rice,South Indian,Lunch,Keto,"Rice, Lemon, Spices",869,38,Hard,Party
M0084,Curd Rice,South Indian,Snack,Vegan,"Rice, Curd, Spices",394,15,Hard,Daily
M0085,Fish Curry,South Indian,Lunch,High-Protein,"Fish, Tamarind, Spices",571,6,Easy,Festive
M0086,Chicken Chettinad,South Indian,Snack,Vegetarian,"Chicken, Coconut, Spices",739,12,Easy,Daily
M0087,Idli Sambar,South Indian,Lunch,High-Protein,"Rice, Lentils, Vegetables",545,33,Easy,Party
M0088,Chicken Chettinad,South Indian,Snack,Keto,"Chicken, Coconut, Spices",177,26,Medium,Party
M0089,Lemon Rice,South Indian,Breakfast,Keto,"Rice, Lemon, Spices",254,35,Hard,Daily
M0090,Pongal,South Indian,Dinner,Vegetarian,"Rice, Moong Dal, Ghee",798,27,Medium,Daily
M0091,Vada,South Indian,Breakfast,Vegetarian,"Lentils, Spices",677,27,Easy,Daily
M0092,Idli Sambar,South Indian,Dinner,Gluten-Free,"Rice, Lentils, Vegetables",830,34,Hard,Festive
M0093,Vada,South Indian,Breakfast,Gluten-Free,"Lentils, Spices",574,42,Easy,Restaurant-Special
M0094,Upma,South Indian,Snack,Gluten-Free,"Rava, Vegetables, Spices",265,15,Medium,Party
M0095,Chicken Chettinad,South Indian,Snack,Vegetarian,"Chicken, Coconut, Spices",600,7,Medium,Party
M0096,Upma,South Indian,Dinner,Keto,"Rava, Vegetables, Spices",354,4,Hard,Daily
M0097,Masala Dosa,South Indian,Lunch,Vegetarian,"Rice, Lentils, Potato",643,37,Easy,Restaurant-Special
M0098,Curd Rice,South Indian,Dinner,Keto,"Rice, Curd, Spices",868,33,Easy,Party
M0099,Idli Sambar,South Indian,Dinner,Vegan,"Rice, Lentils, Vegetables",371,29,Medium,Restaurant-Special
M0100,Upma,South Indian,Lunch,Keto,"Rava, Vegetables, Spices",507,7,Hard,Restaurant-Special
M0101,Upma,South Indian,Breakfast,Gluten-Free,"Rava, Vegetables, Spices",237,28,Hard,Daily
M0102,Lemon Rice,South Indian,Dinner,Gluten-Free,"Rice, Lemon, Spices",826,4,Medium,Daily
M0103,Pongal,South Indian,Lunch,High-Protein,"Rice, Moong Dal, Ghee",630,25,Easy,Festive
M0104,Pongal,South Indian,Dinner,High-Protein,"Rice, Moong Dal, Ghee",747,27,Medium,Restaurant-Special
M0105,Fish Curry,South Indian,Dinner,Non-Vegetarian,"Fish, Tamarind, Spices",666,38,Hard,Festive
M0106,Pongal,South Indian,Breakfast,High-Protein,"Rice, Moong Dal, Ghee",574,23,Hard,Restaurant-Special
M0107,Lemon Rice,South Indian,Lunch,Non-Vegetarian,"Rice, Lemon, Spices",677,43,Hard,Festive
M0108,Vada,South Indian,Dinner,Non-Vegetarian,"Lentils, Spices",674,36,Easy,Daily
M0109,Rasam Rice,South Indian,Snack,Vegetarian,"Tamarind, Tomato, Spices",470,25,Easy,Daily
M0110,Curd Rice,South Indian,Snack,Vegan,"Rice, Curd, Spices",870,41,Easy,Festive
M0111,Pongal,South Indian,Lunch,Non-Vegetarian,"Rice, Moong Dal, Ghee",307,27,Medium,Daily
M0112,Masala Dosa,South Indian,Breakfast,High-Protein,"Rice, Lentils, Potato",475,26,Easy,Festive
M0113,Rasam Rice,South Indian,Breakfast,Non-Vegetarian,"Tamarind, Tomato, Spices",538,12,Easy,Party
M0114,Pongal,South Indian,Snack,Non-Vegetarian,"Rice, Moong Dal, Ghee",763,43,Medium,Daily
M0115,Idli Sambar,South Indian,Lunch,Vegan,"Rice, Lentils, Vegetables",486,11,Easy,Festive
M0116,Vada,South Indian,Snack,Keto,"Lentils, Spices",858,38,Hard,Restaurant-Special
M0117,Fish Curry,South Indian,Snack,Gluten-Free,"Fish, Tamarind, Spices",336,3,Medium,Daily
M0118,Masala Dosa,South Indian,Breakfast,Vegetarian,"Rice, Lentils, Potato",575,38,Hard,Restaurant-Special
M0119,Masala Dosa,South Indian,Dinner,Vegan,"Rice, Lentils, Potato",381,30,Easy,Daily
M0120,Pongal,South Indian,Snack,High-Protein,"Rice, Moong Dal, Ghee",221,16,Medium,Daily
M0121,Fish Curry,South Indian,Breakfast,High-Protein,"Fish, Tamarind, Spices",871,32,Easy,Party
M0122,Pongal,South Indian,Breakfast,Vegetarian,"Rice, Moong Dal, Ghee",619,28,Hard,Restaurant-Special
M0123,Fish Curry,South Indian,Dinner,High-Protein,"Fish, Tamarind, Spices",625,11,Easy,Daily
M0124,Lemon Rice,South Indian,Dinner,Vegetarian,"Rice, Lemon, Spices",410,26,Hard,Party
M0125,Vada,South Indian,Dinner,Non-Vegetarian,"Lentils, Spices",823,20,Hard,Restaurant-Special
M0126,Lemon Rice,South Indian,Dinner,Gluten-Free,"Rice, Lemon, Spices",446,18,Easy,Restaurant-Special
M0127,Masala Dosa,South Indian,Lunch,Vegan,"Rice, Lentils, Potato",494,17,Easy,Daily
M0128,Upma,South Indian,Lunch,Vegetarian,"Rava, Vegetables, Spices",429,42,Medium,Party
M0129,Fish Curry,South Indian,Lunch,Vegan,"Fish, Tamarind, Spices",771,21,Easy,Daily
M0130,Vada,South Indian,Dinner,Vegan,"Lentils, Spices",160,18,Easy,Daily
M0131,Curd Rice,South Indian,Snack,Vegan,"Rice, Curd, Spices",455,25,Medium,Party
M0132,Lemon Rice,South Indian,Snack,Keto,"Rice, Lemon, Spices",540,44,Easy,Daily
M0133,Lemon Rice,South Indian,Lunch,Keto,"Rice, Lemon, Spices",301,6,Hard,Daily
M0134,Curd Rice,South Indian,Dinner,Vegan,"Rice, Curd, Spices",430,11,Easy,Festive
M0135,Idli Sambar,South Indian,Snack,High-Protein,"Rice, Lentils, Vegetables",644,7,Hard,Daily
M0136,Masala Dosa,South Indian,Breakfast,Vegetarian,"Rice, Lentils, Potato",852,23,Easy,Daily
M0137,Curd Rice,South Indian,Lunch,Vegetarian,"Rice, Curd, Spices",640,41,Hard,Festive
M0138,Masala Dosa,South Indian,Breakfast,Non-Vegetarian,"Rice, Lentils, Potato",154,41,Medium,Party
M0139,Curd Rice,South Indian,Lunch,Vegetarian,"Rice, Curd, Spices",429,42,Easy,Festive
M0140,Masala Dosa,South Indian,Lunch,Gluten-Free,"Rice, Lentils, Potato",207,22,Easy,Festive
M0141,Idli Sambar,South Indian,Dinner,Vegetarian,"Rice, Lentils, Vegetables",360,31,Easy,Daily
M0142,Idli Sambar,South Indian,Dinner,Keto,"Rice, Lentils, Vegetables",179,27,Hard,Restaurant-Special
M0143,Upma,South Indian,Breakfast,Gluten-Free,"Rava, Vegetables, Spices",532,39,Easy,Party
M0144,Vada,South Indian,Lunch,Vegan,"Lentils, Spices",317,42,Easy,Restaurant-Special
M0145,Vada,South Indian,Dinner,Vegetarian,"Lentils, Spices",385,26,Hard,Restaurant-Special
M0146,Pongal,South Indian,Breakfast,Vegetarian,"Rice, Moong Dal, Ghee",687,40,Easy,Festive
M0147,Chicken Chettinad,South Indian,Snack,Keto,"Chicken, Coconut, Spices",659,16,Medium,Daily
M0148,Vada,South Indian,Lunch,Keto,"Lentils, Spices",431,14,Easy,Daily
M0149,Lemon Rice,South Indian,Breakfast,Gluten-Free,"Rice, Lemon, Spices",835,12,Medium,Party
M0150,Curd Rice,South Indian,Breakfast,Gluten-Free,"Rice, Curd, Spices",504,20,Hard,Party
M0151,Masala Dosa,South Indian,Lunch,Non-Vegetarian,"Rice, Lentils, Potato",206,26,Medium,Daily
M0152,Chicken Chettinad,South Indian,Dinner,Keto,"Chicken, Coconut, Spices",835,42,Medium,Daily
M0153,Lemon Rice,South Indian,Dinner,Gluten-Free,"Rice, Lemon, Spices",167,18,Easy,Daily
M0154,Curd Rice,South Indian,Dinner,Vegan,"Rice, Curd, Spices",716,6,Medium,Daily
M0155,Masala Dosa,South Indian,Dinner,Vegan,"Rice, Lentils, Potato",652,31,Medium,Party
M0156,Rasam Rice,South Indian,Breakfast,High-Protein,"Tamarind, Tomato, Spices",659,8,Hard,Festive
M0157,Curd Rice,South Indian,Dinner,Keto,"Rice, Curd, Spices",424,11,Easy,Festive
M0158,Vada,South Indian,Dinner,Vegan,"Lentils, Spices",388,13,Easy,Festive
M0159,Rasam Rice,South Indian,Dinner,Non-Vegetarian,"Tamarind, Tomato, Spices",742,10,Hard,Festive
M0160,Fish Curry,South Indian,Lunch,High-Protein,"Fish, Tamarind, Spices",180,29,Hard,Party
M0161,Curd Rice,South Indian,Breakfast,Keto,"Rice, Curd, Spices",357,9,Hard,Restaurant-Special
M0162,Rasam Rice,South Indian,Dinner,Vegetarian,"Tamarind, Tomato, Spices",420,21,Medium,Restaurant-Special
M0163,Vada,South Indian,Lunch,High-Protein,"Lentils, Spices",445,15,Medium,Party
M0164,Curd Rice,South Indian,Breakfast,Gluten-Free,"Rice, Curd, Spices",561,39,Medium,Daily
M0165,Masala Dosa,South Indian,Dinner,Gluten-Free,"Rice, Lentils, Potato",386,36,Hard,Party
M0166,Curd Rice,South Indian,Snack,Keto,"Rice, Curd, Spices",672,43,Easy,Festive
M0167,Vada,South Indian,Breakfast,Vegan,"Lentils, Spices",889,18,Medium,Party
M0168,Chicken Chettinad,South Indian,Snack,Non-Vegetarian,"Chicken, Coconut, Spices",857,43,Medium,Daily
M0169,Chicken Chettinad,South Indian,Snack,Vegan,"Chicken, Coconut, Spices",589,28,Medium,Restaurant-Special
M0170,Rasam Rice,South Indian,Breakfast,High-Protein,"Tamarind, Tomato, Spices",825,34,Hard,Party
M0171,Idli Sambar,South Indian,Dinner,Vegan,"Rice, Lentils, Vegetables",869,41,Easy,Daily
M0172,Fish Curry,South Indian,Breakfast,Vegetarian,"Fish, Tamarind, Spices",168,20,Medium,Party
M0173,Vada,South Indian,Dinner,Vegetarian,"Lentils, Spices",218,18,Medium,Festive
M0174,Fish Curry,South Indian,Dinner,Keto,"Fish, Tamarind, Spices",358,27,Medium,Restaurant-Special
M0175,Vada,South Indian,Lunch,High-Protein,"Lentils, Spices",799,11,Medium,Party
M0176,Masala Dosa,South Indian,Breakfast,Vegan,"Rice, Lentils, Potato",745,34,Easy,Daily
M0177,Upma,South Indian,Breakfast,Gluten-Free,"Rava, Vegetables, Spices",375,32,Easy,Party
M0178,Lemon Rice,South Indian,Lunch,Vegetarian,"Rice, Lemon, Spices",778,45,Easy,Daily
M0179,Masala Dosa,South Indian,Lunch,Non-Vegetarian,"Rice, Lentils, Potato",658,12,Easy,Festive
M0180,Lemon Rice,South Indian,Snack,Keto,"Rice, Lemon, Spices",173,35,Medium,Daily
M0181,Fish Curry,South Indian,Breakfast,Vegan,"Fish, Tamarind, Spices",310,27,Hard,Festive
M0182,Upma,South Indian,Dinner,Non-Vegetarian,"Rava, Vegetables, Spices",199,37,Medium,Festive
M0183,Chicken Chettinad,South Indian,Dinner,High-Protein,"Chicken, Coconut, Spices",794,28,Hard,Daily
M0184,Fish Curry,South Indian,Dinner,High-Protein,"Fish, Tamarind, Spices",647,35,Hard,Festive
M0185,Idli Sambar,South Indian,Lunch,Vegan,"Rice, Lentils, Vegetables",869,21,Easy,Daily
M0186,Pongal,South Indian,Breakfast,Keto,"Rice, Moong Dal, Ghee",712,14,Medium,Daily
M0187,Chicken Chettinad,South Indian,Lunch,Keto,"Chicken, Coconut, Spices",545,30,Hard,Party
M0188,Pongal,South Indian,Snack,Non-Vegetarian,"Rice, Moong Dal, Ghee",208,6,Medium,Restaurant-Special
M0189,Curd Rice,South Indian,Breakfast,Gluten-Free,"Rice, Curd, Spices",208,17,Medium,Daily
M0190,Curd Rice,South Indian,Snack,Vegetarian,"Rice, Curd, Spices",384,31,Hard,Party
M0191,Rasam Rice,South Indian,Lunch,Keto,"Tamarind, Tomato, Spices",599,25,Easy,Party
M0192,Idli Sambar,South Indian,Snack,Gluten-Free,"Rice, Lentils, Vegetables",846,39,Medium,Restaurant-Special
M0193,Idli Sambar,South Indian,Dinner,Gluten-Free,"Rice, Lentils, Vegetables",521,43,Hard,Daily
M0194,Lemon Rice,South Indian,Snack,Non-Vegetarian,"Rice, Lemon, Spices",376,20,Medium,Party
M0195,Lemon Rice,South Indian,Snack,Keto,"Rice, Lemon, Spices",401,3,Easy,Daily
M0196,Lemon Rice,South Indian,Breakfast,High-Protein,"Rice, Lemon, Spices",254,14,Hard,Party
M0197,Fish Curry,South Indian,Snack,Vegetarian,"Fish, Tamarind, Spices",882,23,Medium,Festive
M0198,Chicken Chettinad,South Indian,Breakfast,Keto,"Chicken, Coconut, Spices",435,3,Hard,Party
M0199,Idli Sambar,South Indian,Dinner,Vegan,"Rice, Lentils, Vegetables",352,15,Medium,Daily
M0200,Curd Rice,South Indian,Snack,Vegan,"Rice, Curd, Spices",678,22,Hard,Festive
M0201,Curd Rice,South Indian,Lunch,Keto,"Rice, Curd, Spices",463,12,Medium,Party
M0202,Rasam Rice,South Indian,Dinner,High-Protein,"Tamarind, Tomato, Spices",238,5,Medium,Party
M0203,Chicken Chettinad,South Indian,Breakfast,Non-Vegetarian,"Chicken, Coconut, Spices",192,4,Hard,Festive
M0204,Masala Dosa,South Indian,Dinner,Keto,"Rice, Lentils, Potato",893,16,Medium,Festive
M0205,Curd Rice,South Indian,Dinner,Non-Vegetarian,"Rice, Curd, Spices",847,29,Hard,Daily
M0206,Upma,South Indian,Dinner,High-Protein,"Rava, Vegetables, Spices",582,24,Hard,Festive
M0207,Curd Rice,South Indian,Snack,Keto,"Rice, Curd, Spices",722,20,Hard,Party
M0208,Upma,South Indian,Breakfast,Vegetarian,"Rava, Vegetables, Spices",837,45,Medium,Party
M0209,Rasam Rice,South Indian,Lunch,Vegetarian,"Tamarind, Tomato, Spices",740,35,Medium,Daily
M0210,Vada,South Indian,Breakfast,High-Protein,"Lentils, Spices",674,27,Hard,Restaurant-Special
M0211,Masala Dosa,South Indian,Breakfast,Vegan,"Rice, Lentils, Potato",494,24,Hard,Daily
M0212,Rasam Rice,South Indian,Snack,Vegan,"Tamarind, Tomato, Spices",619,30,Easy,Party
M0213,Curd Rice,South Indian,Snack,Keto,"Rice, Curd, Spices",704,35,Medium,Restaurant-Special
M0214,Idli Sambar,South Indian,Lunch,Gluten-Free,"Rice, Lentils, Vegetables",846,9,Easy,Festive
M0215,Chicken Chettinad,South Indian,Lunch,Gluten-Free,"Chicken, Coconut, Spices",656,15,Hard,Festive
M0216,Vada,South Indian,Dinner,High-Protein,"Lentils, Spices",421,23,Hard,Party
M0217,Chicken Chettinad,South Indian,Dinner,High-Protein,"Chicken, Coconut, Spices",520,37,Medium,Daily
M0218,Fish Curry,South Indian,Breakfast,Keto,"Fish, Tamarind, Spices",462,16,Hard,Festive
M0219,Pongal,South Indian,Lunch,Vegan,"Rice, Moong Dal, Ghee",461,9,Easy,Restaurant-Special
M0220,Fish Curry,South Indian,Dinner,High-Protein,"Fish, Tamarind, Spices",348,12,Easy,Festive
M0221,Upma,South Indian,Breakfast,Vegan,"Rava, Vegetables, Spices",453,36,Medium,Daily
M0222,Vada,South Indian,Snack,Gluten-Free,"Lentils, Spices",889,12,Hard,Party
M0223,Fish Curry,South Indian,Breakfast,High-Protein,"Fish, Tamarind, Spices",863,31,Medium,Restaurant-Special
M0224,Chicken Chettinad,South Indian,Snack,High-Protein,"Chicken, Coconut, Spices",240,37,Easy,Daily
M0225,Fish Curry,South Indian,Breakfast,High-Protein,"Fish, Tamarind, Spices",484,29,Easy,Daily
M0226,Masala Dosa,South Indian,Dinner,Keto,"Rice, Lentils, Potato",440,39,Easy,Restaurant-Special
M0227,Lemon Rice,South Indian,Snack,Vegetarian,"Rice, Lemon, Spices",316,30,Hard,Party
M0228,Lemon Rice,South Indian,Dinner,Non-Vegetarian,"Rice, Lemon, Spices",359,15,Hard,Restaurant-Special
M0229,Rasam Rice,South Indian,Dinner,Vegan,"Tamarind, Tomato, Spices",849,18,Easy,Festive
M0230,Vada,South Indian,Lunch,Keto,"Lentils, Spices",380,8,Medium,Festive
M0231,Fish Curry,South Indian,Snack,Keto,"Fish, Tamarind, Spices",504,34,Easy,Festive
M0232,Masala Dosa,South Indian,Breakfast,Gluten-Free,"Rice, Lentils, Potato",692,14,Medium,Party
M0233,Lemon Rice,South Indian,Dinner,Keto,"Rice, Lemon, Spices",822,27,Medium,Restaurant-Special
M0234,Upma,South Indian,Snack,Gluten-Free,"Rava, Vegetables, Spices",736,41,Hard,Daily
M0235,Lemon Rice,South Indian,Lunch,Keto,"Rice, Lemon, Spices",626,18,Easy,Festive
M0236,Lemon Rice,South Indian,Snack,Vegetarian,"Rice, Lemon, Spices",238,16,Hard,Festive
M0237,Chicken Chettinad,South Indian,Lunch,Keto,"Chicken, Coconut, Spices",430,4,Easy,Restaurant-Special
M0238,Upma,South Indian,Dinner,Keto,"Rava, Vegetables, Spices",587,21,Easy,Festive
M0239,Idli Sambar,South Indian,Lunch,Vegetarian,"Rice, Lentils, Vegetables",401,10,Easy,Party
M0240,Lemon Rice,South Indian,Dinner,High-Protein,"Rice, Lemon, Spices",641,44,Easy,Restaurant-Special
M0241,Pongal,South Indian,Dinner,High-Protein,"Rice, Moong Dal, Ghee",666,16,Hard,Restaurant-Special
M0242,Rasam Rice,South Indian,Lunch,Non-Vegetarian,"Tamarind, Tomato, Spices",163,6,Easy,Festive
M0243,Rasam Rice,South Indian,Lunch,Keto,"Tamarind, Tomato, Spices",446,45,Medium,Party
M0244,Rasam Rice,South Indian,Breakfast,Vegetarian,"Tamarind, Tomato, Spices",502,38,Hard,Daily
M0245,Upma,South Indian,Breakfast,Vegetarian,"Rava, Vegetables, Spices",498,32,Easy,Daily
M0246,Upma,South Indian,Breakfast,Gluten-Free,"Rava, Vegetables, Spices",433,6,Easy,Festive
M0247,Fish Curry,South Indian,Dinner,Gluten-Free,"Fish, Tamarind, Spices",662,33,Hard,Festive
M0248,Chicken Chettinad,South Indian,Lunch,High-Protein,"Chicken, Coconut, Spices",837,19,Hard,Restaurant-Special
M0249,Fish Curry,South Indian,Lunch,Gluten-Free,"Fish, Tamarind, Spices",528,7,Medium,Party
M0250,Fish Curry,South Indian,Dinner,Vegetarian,"Fish, Tamarind, Spices",677,37,Easy,Festive
M0251,Idli Sambar,South Indian,Breakfast,High-Protein,"Rice, Lentils, Vegetables",498,19,Medium,Restaurant-Special
M0252,Vada,South Indian,Snack,Keto,"Lentils, Spices",878,11,Hard,Daily
