Meal_ID,Dish_Name,Cuisine_Type,Meal_Type,Dietary_Preference,Main_Ingredients,Calories_per_Serving,Protein_Content(g),Difficulty_Level,Occasion_Type
M3276,Chicken Manchurian,Indo-Chinese,Snack,High-Protein,"Chicken, Maida, Spices",178,12,Medium,Restaurant-Special
M0579,Idli Sambar,South Indian,Dinner,Gluten-Free,"Rice, Lentils, Vegetables",376,11,Hard,Party
M2280,Paneer Butter Masala,North Indian,Snack,Gluten-Free,"Paneer, Tomato, Spices",274,22,Medium,Restaurant-Special
M3419,Veg Spring Rolls,Indo-Chinese,Dinner,Vegan,"Vegetables, Maida, Spices",458,17,Medium,Festive
M1363,Curd Rice,South Indian,Breakfast,Vegan,"Rice, Curd, Spices",450,28,Hard,Daily
M0001,Curd Rice,South Indian,Dinner,High-Protein,"Rice, Curd, Spices",421,22,Hard,Restaurant-Special
M3427,American Chopsuey,Indo-Chinese,Lunch,High-Protein,"Noodles, Vegetables, Sauce",435,25,Medium,Restaurant-Special
M3729,Schezwan Noodles,Indo-Chinese,Breakfast,Vegetarian,"Noodles, Vegetables, Schezwan Sauce",838,20,Medium,Party
M3846,Schezwan Noodles,Indo-Chinese,Dinner,Vegan,"Noodles, Vegetables, Schezwan Sauce",421,42,Medium,Restaurant-Special
M0965,Lemon Rice,South Indian,Dinner,Vegetarian,"Rice, Lemon, Spices",231,38,Easy,Party
M3254,Veg Spring Rolls,Indo-Chinese,Dinner,Non-Vegetarian,"Vegetables, Maida, Spices",836,30,Hard,Daily
M1012,Chicken Chettinad,South Indian,Snack,Keto,"Chicken, Coconut, Spices",888,10,Medium,Daily
M0248,Chicken Chettinad,South Indian,Lunch,High-Protein,"Chicken, Coconut, Spices",837,19,Hard,Restaurant-Special
M1426,Upma,South Indian,Breakfast,Gluten-Free,"Rava, Vegetables, Spices",603,27,Easy,Party
M2112,Biryani,North Indian,Dinner,Vegetarian,"Rice, Meat/Vegetables, Spices",655,14,Hard,Festive
M3977,Veg Spring Rolls,Indo-Chinese,Breakfast,High-Protein,"Vegetables, Maida, Spices",385,26,Easy,Daily
M3408,American Chopsuey,Indo-Chinese,Breakfast,Vegetarian,"Noodles, Vegetables, Sauce",395,33,Medium,Festive
M3794,Veg Spring Rolls,Indo-Chinese,Breakfast,High-Protein,"Vegetables, Maida, Spices",321,25,Medium,Restaurant-Special
M1510,Dal Makhani,North Indian,Breakfast,Vegan,"Urad Dal, Butter, Cream",812,31,Medium,Daily
M3516,Hakka Noodles,Indo-Chinese,Breakfast,Gluten-Free,"Noodles, Vegetables, Soy Sauce",691,3,Hard,Festive
M0651,Rasam Rice,South Indian,Breakfast,Vegetarian,"Tamarind, Tomato, Spices",530,36,Easy,Festive
M1968,Butter Chicken,North Indian,Lunch,Vegan,"Chicken, Butter, Tomato",370,20,Easy,Daily
M2047,Chole Bhature,North Indian,Lunch,Vegetarian,"Chickpeas, Maida, Spices",193,38,Medium,Party
M1559,Palak Paneer,North Indian,Dinner,Vegetarian,"Spinach, Paneer, Spices",604,15,Medium,Restaurant-Special
M3801,Chicken Manchurian,Indo-Chinese,Dinner,High-Protein,"Chicken, Maida, Spices",170,32,Medium,Festive
M0176,Masala Dosa,South Indian,Breakfast,Vegan,"Rice, Lentils, Potato",745,34,Easy,Daily
M0279,Fish Curry,South Indian,Lunch,Keto,"Fish, Tamarind, Spices",639,19,Easy,Restaurant-Special
M1136,Fish Curry,South Indian,Snack,Keto,"Fish, Tamarind, Spices",257,21,Hard,Daily
M3553,American Chopsuey,Indo-Chinese,Breakfast,Vegan,"Noodles, Vegetables, Sauce",638,6,Easy,Party
M2485,Veg Fried Rice,Indo-Chinese,Lunch,High-Protein,"Rice, Mixed Veg, Soy Sauce",792,42,Medium,Restaurant-Special
M2431,American Chopsuey,Indo-Chinese,Snack,High-Protein,"Noodles, Vegetables, Sauce",254,45,Hard,Daily
M2530,Chicken Fried Rice,Indo-Chinese,Lunch,Vegan,"Rice, Chicken, Soy Sauce",638,45,Medium,Restaurant-Special
M3520,Paneer Chilli,Indo-Chinese,Dinner,Keto,"Paneer, Capsicum, Soy Sauce",485,39,Easy,Party
M0692,Chicken Chettinad,South Indian,Dinner,Non-Vegetarian,"Chicken, Coconut, Spices",464,40,Easy,Daily
M3962,American Chopsuey,Indo-Chinese,Dinner,Vegan,"Noodles, Vegetables, Sauce",423,25,Medium,Party
M0417,Masala Dosa,South Indian,Snack,Gluten-Free,"Rice, Lentils, Potato",457,34,Hard,Daily
M2890,Chilli Chicken,Indo-Chinese,Breakfast,High-Protein,"Chicken, Capsicum, Spices",176,12,Hard,Festive
M0218,Fish Curry,South Indian,Breakfast,Keto,"Fish, Tamarind, Spices",462,16,Hard,Festive
M2489,Hakka Noodles,Indo-Chinese,Snack,Vegetarian,"Noodles, Vegetables, Soy Sauce",340,12,Hard,Party
M1972,Aloo Paratha,North Indian,Lunch,Vegetarian,"Wheat, Potato, Spices",444,38,Medium,Restaurant-Special
M3406,Chicken Fried Rice,Indo-Chinese,Dinner,Gluten-Free,"Rice, Chicken, Soy Sauce",474,41,Medium,Festive
M3112,Chicken Manchurian,Indo-Chinese,Breakfast,Keto,"Chicken, Maida, Spices",739,22,Medium,Festive
M0904,Fish Curry,South Indian,Snack,Keto,"Fish, Tamarind, Spices",527,41,Medium,Daily
M2926,Chilli Chicken,Indo-Chinese,Lunch,Vegetarian,"Chicken, Capsicum, Spices",710,45,Medium,Party
M0913,Lemon Rice,South Indian,Snack,Keto,"Rice, Lemon, Spices",725,24,Easy,Daily
M3470,Chicken Manchurian,Indo-Chinese,Lunch,High-Protein,"Chicken, Maida, Spices",370,44,Medium,Festive
M0728,Pongal,South Indian,Lunch,Vegan,"Rice, Moong Dal, Ghee",416,24,Medium,Daily
M3756,Schezwan Noodles,Indo-Chinese,Lunch,Gluten-Free,"Noodles, Vegetables, Schezwan Sauce",517,36,Hard,Restaurant-Special
M3080,Gobi Manchurian,Indo-Chinese,Breakfast,High-Protein,"Cauliflower, Maida, Spices",795,11,Hard,Restaurant-Special
M2826,Paneer Chilli,Indo-Chinese,Breakfast,Gluten-Free,"Paneer, Capsicum, Soy Sauce",313,13,Hard,Restaurant-Special
M2156,Kadhi Pakora,North Indian,Snack,High-Protein,"Besan, Curd, Spices",348,15,Medium,Daily
M0450,Rasam Rice,South Indian,Snack,Keto,"Tamarind, Tomato, Spices",651,40,Medium,Party
M1396,Fish Curry,South Indian,Snack,Vegan,"Fish, Tamarind, Spices",309,42,Easy,Party
M0377,Pongal,South Indian,Breakfast,Non-Vegetarian,"Rice, Moong Dal, Ghee",309,27,Easy,Party
M3143,Veg Fried Rice,Indo-Chinese,Breakfast,Gluten-Free,"Rice, Mixed Veg, Soy Sauce",459,14,Easy,Festive
M1753,Dal Makhani,North Indian,Breakfast,Keto,"Urad Dal, Butter, Cream",752,19,Medium,Party
M3967,Chilli Chicken,Indo-Chinese,Dinner,High-Protein,"Chicken, Capsicum, Spices",807,28,Hard,Restaurant-Special
M0434,Curd Rice,South Indian,Snack,Non-Vegetarian,"Rice, Curd, Spices",312,31,Hard,Party
M0953,Idli Sambar,South Indian,Snack,Vegan,"Rice, Lentils, Vegetables",579,11,Hard,Restaurant-Special
M0372,Rasam Rice,South Indian,Lunch,Non-Vegetarian,"Tamarind, Tomato, Spices",712,8,Hard,Restaurant-Special
M3278,Chicken Fried Rice,Indo-Chinese,Snack,Vegetarian,"Rice, Chicken, Soy Sauce",197,24,Easy,Daily
M2397,Kadhi Pakora,North Indian,Snack,Non-Vegetarian,"Besan, Curd, Spices",153,26,Hard,Party
M1422,Fish Curry,South Indian,Snack,Vegan,"Fish, Tamarind, Spices",490,19,Medium,Party
M0701,Curd Rice,South Indian,Dinner,Non-Vegetarian,"Rice, Curd, Spices",848,25,Hard,Restaurant-Special
M2868,American Chopsuey,Indo-Chinese,Breakfast,Non-Vegetarian,"Noodles, Vegetables, Sauce",487,12,Medium,Party
M0645,Fish Curry,South Indian,Snack,Keto,"Fish, Tamarind, Spices",371,7,Hard,Restaurant-Special
M1458,Aloo Paratha,North Indian,Lunch,Vegetarian,"Wheat, Potato, Spices",540,42,Hard,Party
M0666,Fish Curry,South Indian,Lunch,Keto,"Fish, Tamarind, Spices",371,12,Hard,Daily
M1504,Palak Paneer,North Indian,Lunch,Gluten-Free,"Spinach, Paneer, Spices",469,4,Medium,Daily
M1428,Upma,South Indian,Lunch,Keto,"Rava, Vegetables, Spices",884,44,Medium,Party
M1633,Rajma Chawal,North Indian,Breakfast,Vegetarian,"Rajma, Rice, Spices",304,32,Medium,Party
M2421,Paneer Chilli,Indo-Chinese,Breakfast,Vegetarian,"Paneer, Capsicum, Soy Sauce",878,42,Hard,Festive
M1481,Baingan Bharta,North Indian,Dinner,Gluten-Free,"Brinjal, Onion, Tomato",738,43,Medium,Daily
M1165,Chicken Chettinad,South Indian,Dinner,High-Protein,"Chicken, Coconut, Spices",273,29,Hard,Festive
M0795,Masala Dosa,South Indian,Lunch,Gluten-Free,"Rice, Lentils, Potato",626,15,Medium,Party
M3592,Chicken Fried Rice,Indo-Chinese,Breakfast,High-Protein,"Rice, Chicken, Soy Sauce",273,9,Hard,Festive
M0247,Fish Curry,South Indian,Dinner,Gluten-Free,"Fish, Tamarind, Spices",662,33,Hard,Festive
M3816,Schezwan Noodles,Indo-Chinese,Lunch,Keto,"Noodles, Vegetables, Schezwan Sauce",879,37,Hard,Daily
M0735,Fish Curry,South Indian,Breakfast,Non-Vegetarian,"Fish, Tamarind, Spices",844,42,Hard,Festive
M0506,Chicken Chettinad,South Indian,Lunch,Vegan,"Chicken, Coconut, Spices",852,43,Medium,Festive
M2441,Schezwan Noodles,Indo-Chinese,Snack,Vegan,"Noodles, Vegetables, Schezwan Sauce",355,3,Hard,Daily
M1190,Idli Sambar,South Indian,Breakfast,Keto,"Rice, Lentils, Vegetables",734,24,Easy,Festive
M3373,Veg Fried Rice,Indo-Chinese,Snack,Vegetarian,"Rice, Mixed Veg, Soy Sauce",331,15,Easy,Restaurant-Special
M3444,Gobi Manchurian,Indo-Chinese,Lunch,High-Protein,"Cauliflower, Maida, Spices",557,10,Easy,Festive
M1615,Baingan Bharta,North Indian,Lunch,Non-Vegetarian,"Brinjal, Onion, Tomato",715,33,Easy,Festive
M0533,Upma,South Indian,Dinner,Gluten-Free,"Rava, Vegetables, Spices",828,19,Medium,Daily
M0933,Fish Curry,South Indian,Snack,Keto,"Fish, Tamarind, Spices",249,5,Medium,Festive
M0109,Rasam Rice,South Indian,Snack,Vegetarian,"Tamarind, Tomato, Spices",470,25,Easy,Daily
M1868,Baingan Bharta,North Indian,Dinner,Vegan,"Brinjal, Onion, Tomato",807,7,Hard,Party
M0950,Pongal,South Indian,Snack,Vegan,"Rice, Moong Dal, Ghee",530,24,Medium,Daily
M2414,Paneer Chilli,Indo-Chinese,Snack,Vegetarian,"Paneer, Capsicum, Soy Sauce",820,11,Easy,Festive
M2949,Hakka Noodles,Indo-Chinese,Dinner,Gluten-Free,"Noodles, Vegetables, Soy Sauce",548,38,Hard,Party
M3206,Gobi Manchurian,Indo-Chinese,Dinner,Gluten-Free,"Cauliflower, Maida, Spices",300,7,Hard,Party
M2224,Butter Chicken,North Indian,Snack,Vegetarian,"Chicken, Butter, Tomato",481,37,Easy,Festive
M2975,Veg Spring Rolls,Indo-Chinese,Breakfast,Vegan,"Vegetables, Maida, Spices",757,14,Easy,Daily
M3958,Hakka Noodles,Indo-Chinese,Lunch,High-Protein,"Noodles, Vegetables, Soy Sauce",232,25,Medium,Festive
M0544,Masala Dosa,South Indian,Lunch,Gluten-Free,"Rice, Lentils, Potato",810,42,Hard,Restaurant-Special
M1766,Kadhi Pakora,North Indian,Dinner,Vegan,"Besan, Curd, Spices",515,37,Easy,Party
M2495,Hakka Noodles,Indo-Chinese,Breakfast,Vegetarian,"Noodles, Vegetables, Soy Sauce",310,9,Medium,Festive
M2935,Chicken Fried Rice,Indo-Chinese,Snack,Vegan,"Rice, Chicken, Soy Sauce",712,41,Hard,Party
M0260,Vada,South Indian,Snack,Keto,"Lentils, Spices",500,8,Easy,Party
M1515,Palak Paneer,North Indian,Lunch,High-Protein,"Spinach, Paneer, Spices",872,5,Easy,Daily
M1779,Rajma Chawal,North Indian,Snack,Non-Vegetarian,"Rajma, Rice, Spices",307,4,Hard,Party
M1863,Paneer Butter Masala,North Indian,Breakfast,High-Protein,"Paneer, Tomato, Spices",578,10,Hard,Daily
M1296,Chicken Chettinad,South Indian,Snack,Non-Vegetarian,"Chicken, Coconut, Spices",851,24,Hard,Party
M0928,Lemon Rice,South Indian,Dinner,Vegan,"Rice, Lemon, Spices",773,10,Medium,Festive
M0613,Masala Dosa,South Indian,Breakfast,Gluten-Free,"Rice, Lentils, Potato",667,11,Medium,Restaurant-Special
M2632,Schezwan Noodles,Indo-Chinese,Snack,Non-Vegetarian,"Noodles, Vegetables, Schezwan Sauce",887,17,Medium,Restaurant-Special
M1232,Upma,South Indian,Snack,High-Protein,"Rava, Vegetables, Spices",248,19,Easy,Restaurant-Special
M0220,Fish Curry,South Indian,Dinner,High-Protein,"Fish, Tamarind, Spices",348,12,Easy,Festive
M3130,Veg Spring Rolls,Indo-Chinese,Breakfast,Keto,"Vegetables, Maida, Spices",262,17,Medium,Festive
M0486,Lemon Rice,South Indian,Breakfast,Gluten-Free,"Rice, Lemon, Spices",433,8,Medium,Restaurant-Special
M2317,Aloo Paratha,North Indian,Breakfast,Non-Vegetarian,"Wheat, Potato, Spices",525,15,Medium,Festive
M2165,Dal Makhani,North Indian,Dinner,High-Protein,"Urad Dal, Butter, Cream",413,27,Hard,Festive
M3522,Hakka Noodles,Indo-Chinese,Breakfast,Vegan,"Noodles, Vegetables, Soy Sauce",467,22,Hard,Festive
M2993,Chilli Chicken,Indo-Chinese,Breakfast,Keto,"Chicken, Capsicum, Spices",456,15,Medium,Daily
M0259,Fish Curry,South Indian,Breakfast,Keto,"Fish, Tamarind, Spices",629,38,Easy,Party
M3843,American Chopsuey,Indo-Chinese,Lunch,Gluten-Free,"Noodles, Vegetables, Sauce",757,30,Medium,Daily
M0387,Masala Dosa,South Indian,Snack,Vegan,"Rice, Lentils, Potato",744,26,Easy,Daily
M0848,Masala Dosa,South Indian,Lunch,Non-Vegetarian,"Rice, Lentils, Potato",345,9,Hard,Restaurant-Special
M2574,Veg Fried Rice,Indo-Chinese,Dinner,Gluten-Free,"Rice, Mixed Veg, Soy Sauce",338,10,Hard,Restaurant-Special
M3234,Chicken Manchurian,Indo-Chinese,Lunch,Vegan,"Chicken, Maida, Spices",797,20,Hard,Party
M3613,American Chopsuey,Indo-Chinese,Snack,Gluten-Free,"Noodles, Vegetables, Sauce",821,16,Hard,Daily
M3102,Chilli Chicken,Indo-Chinese,Snack,High-Protein,"Chicken, Capsicum, Spices",586,34,Hard,Daily
M2862,Paneer Chilli,Indo-Chinese,Breakfast,Non-Vegetarian,"Paneer, Capsicum, Soy Sauce",619,40,Medium,Party
M1624,Palak Paneer,North Indian,Snack,Non-Vegetarian,"Spinach, Paneer, Spices",392,31,Easy,Restaurant-Special
M1002,Idli Sambar,South Indian,Snack,Keto,"Rice, Lentils, Vegetables",865,21,Hard,Festive
M0210,Vada,South Indian,Breakfast,High-Protein,"Lentils, Spices",674,27,Hard,Restaurant-Special
M3621,Chicken Fried Rice,Indo-Chinese,Lunch,Gluten-Free,"Rice, Chicken, Soy Sauce",277,19,Easy,Party
M2092,Chole Bhature,North Indian,Lunch,Gluten-Free,"Chickpeas, Maida, Spices",840,24,Easy,Restaurant-Special
M1949,Paneer Butter Masala,North Indian,Lunch,Vegetarian,"Paneer, Tomato, Spices",319,40,Medium,Festive
M0911,Upma,South Indian,Lunch,Gluten-Free,"Rava, Vegetables, Spices",220,13,Medium,Festive
M1719,Palak Paneer,North Indian,Dinner,Vegan,"Spinach, Paneer, Spices",576,12,Hard,Party
M2553,Chicken Fried Rice,Indo-Chinese,Snack,Vegetarian,"Rice, Chicken, Soy Sauce",324,19,Easy,Party
M2985,Chicken Fried Rice,Indo-Chinese,Lunch,High-Protein,"Rice, Chicken, Soy Sauce",692,29,Easy,Party
M2164,Dal Makhani,North Indian,Snack,Keto,"Urad Dal, Butter, Cream",268,15,Easy,Festive
M0597,Pongal,South Indian,Breakfast,Vegetarian,"Rice, Moong Dal, Ghee",391,29,Medium,Restaurant-Special
M1951,Butter Chicken,North Indian,Lunch,Gluten-Free,"Chicken, Butter, Tomato",766,32,Hard,Party
M3765,American Chopsuey,Indo-Chinese,Breakfast,Non-Vegetarian,"Noodles, Vegetables, Sauce",259,42,Hard,Daily
M0297,Upma,South Indian,Lunch,Vegan,"Rava, Vegetables, Spices",613,15,Medium,Party
M3717,Chilli Chicken,Indo-Chinese,Dinner,High-Protein,"Chicken, Capsicum, Spices",463,11,Hard,Daily
M0508,Curd Rice,South Indian,Snack,Gluten-Free,"Rice, Curd, Spices",832,15,Easy,Daily
M2865,Veg Spring Rolls,Indo-Chinese,Dinner,Vegan,"Vegetables, Maida, Spices",789,7,Medium,Festive
M0008,Upma,South Indian,Lunch,High-Protein,"Rava, Vegetables, Spices",632,36,Hard,Festive
M2253,Kadhi Pakora,North Indian,Lunch,Vegetarian,"Besan, Curd, Spices",823,37,Hard,Daily
M3055,Chicken Manchurian,Indo-Chinese,Dinner,Non-Vegetarian,"Chicken, Maida, Spices",547,28,Easy,Daily
M2030,Baingan Bharta,North Indian,Dinner,Gluten-Free,"Brinjal, Onion, Tomato",343,8,Hard,Festive
M2149,Dal Makhani,North Indian,Dinner,Non-Vegetarian,"Urad Dal, Butter, Cream",371,11,Hard,Festive
M2087,Chole Bhature,North Indian,Dinner,Keto,"Chickpeas, Maida, Spices",570,14,Hard,Daily
M3118,Chicken Manchurian,Indo-Chinese,Lunch,Keto,"Chicken, Maida, Spices",424,43,Medium,Festive
M2551,Paneer Chilli,Indo-Chinese,Snack,Non-Vegetarian,"Paneer, Capsicum, Soy Sauce",579,43,Easy,Daily
M3359,Chicken Fried Rice,Indo-Chinese,Snack,Non-Vegetarian,"Rice, Chicken, Soy Sauce",413,3,Easy,Daily
M0178,Lemon Rice,South Indian,Lunch,Vegetarian,"Rice, Lemon, Spices",778,45,Easy,Daily
M3854,Chilli Chicken,Indo-Chinese,Dinner,Vegan,"Chicken, Capsicum, Spices",532,33,Easy,Festive
M2779,American Chopsuey,Indo-Chinese,Lunch,Gluten-Free,"Noodles, Vegetables, Sauce",219,5,Medium,Restaurant-Special
M0791,Idli Sambar,South Indian,Snack,Non-Vegetarian,"Rice, Lentils, Vegetables",257,11,Hard,Party
M1335,Lemon Rice,South Indian,Dinner,Vegetarian,"Rice, Lemon, Spices",244,6,Hard,Daily
M0679,Chicken Chettinad,South Indian,Dinner,Keto,"Chicken, Coconut, Spices",655,17,Medium,Festive
M3454,Chicken Fried Rice,Indo-Chinese,Snack,Vegetarian,"Rice, Chicken, Soy Sauce",187,25,Medium,Festive
M3013,Gobi Manchurian,Indo-Chinese,Breakfast,High-Protein,"Cauliflower, Maida, Spices",386,33,Hard,Restaurant-Special
M1437,Upma,South Indian,Dinner,Gluten-Free,"Rava, Vegetables, Spices",534,6,Medium,Restaurant-Special
M0097,Masala Dosa,South Indian,Lunch,Vegetarian,"Rice, Lentils, Potato",643,37,Easy,Restaurant-Special
M0044,Vada,South Indian,Lunch,Vegetarian,"Lentils, Spices",803,6,Easy,Restaurant-Special
M1815,Aloo Paratha,North Indian,Lunch,Keto,"Wheat, Potato, Spices",881,45,Medium,Festive
M1491,Kadhi Pakora,North Indian,Lunch,High-Protein,"Besan, Curd, Spices",765,29,Easy,Daily
M1229,Chicken Chettinad,South Indian,Lunch,Vegan,"Chicken, Coconut, Spices",505,28,Easy,Party
M0760,Pongal,South Indian,Breakfast,Vegetarian,"Rice, Moong Dal, Ghee",819,8,Easy,Daily
M3627,Veg Spring Rolls,Indo-Chinese,Dinner,Non-Vegetarian,"Vegetables, Maida, Spices",748,20,Hard,Daily
M2019,Palak Paneer,North Indian,Snack,High-Protein,"Spinach, Paneer, Spices",188,32,Medium,Party
M2750,Hakka Noodles,Indo-Chinese,Snack,Gluten-Free,"Noodles, Vegetables, Soy Sauce",464,25,Hard,Festive
M3067,Gobi Manchurian,Indo-Chinese,Breakfast,Vegan,"Cauliflower, Maida, Spices",238,5,Easy,Party
M0026,Idli Sambar,South Indian,Dinner,Vegetarian,"Rice, Lentils, Vegetables",772,45,Hard,Restaurant-Special
M2303,Baingan Bharta,North Indian,Snack,Vegetarian,"Brinjal, Onion, Tomato",639,40,Medium,Party
M1611,Rajma Chawal,North Indian,Dinner,Vegetarian,"Rajma, Rice, Spices",286,4,Hard,Restaurant-Special
M0680,Fish Curry,South Indian,Dinner,Gluten-Free,"Fish, Tamarind, Spices",847,41,Hard,Party
M1843,Biryani,North Indian,Lunch,Non-Vegetarian,"Rice, Meat/Vegetables, Spices",413,31,Hard,Festive
M2645,Gobi Manchurian,Indo-Chinese,Breakfast,Vegetarian,"Cauliflower, Maida, Spices",313,13,Easy,Party
M1223,Masala Dosa,South Indian,Breakfast,Gluten-Free,"Rice, Lentils, Potato",763,4,Hard,Party
M0782,Rasam Rice,South Indian,Breakfast,High-Protein,"Tamarind, Tomato, Spices",304,33,Medium,Festive
M3668,Chicken Fried Rice,Indo-Chinese,Dinner,High-Protein,"Rice, Chicken, Soy Sauce",638,42,Medium,Party
M3814,Veg Fried Rice,Indo-Chinese,Snack,Vegetarian,"Rice, Mixed Veg, Soy Sauce",338,3,Hard,Restaurant-Special
M2339,Rajma Chawal,North Indian,Lunch,Keto,"Rajma, Rice, Spices",418,44,Medium,Daily
M1357,Pongal,South Indian,Lunch,Keto,"Rice, Moong Dal, Ghee",639,44,Medium,Daily
M1616,Chole Bhature,North Indian,Lunch,High-Protein,"Chickpeas, Maida, Spices",325,15,Easy,Daily
M3128,Chicken Fried Rice,Indo-Chinese,Snack,High-Protein,"Rice, Chicken, Soy Sauce",529,19,Medium,Festive
M2383,Rajma Chawal,North Indian,Snack,Gluten-Free,"Rajma, Rice, Spices",633,19,Hard,Restaurant-Special
M2148,Paneer Butter Masala,North Indian,Dinner,Gluten-Free,"Paneer, Tomato, Spices",172,18,Medium,Restaurant-Special
M0884,Lemon Rice,South Indian,Dinner,Vegan,"Rice, Lemon, Spices",419,38,Hard,Party
M0383,Upma,South Indian,Lunch,High-Protein,"Rava, Vegetables, Spices",367,23,Hard,Restaurant-Special
M2836,Schezwan Noodles,Indo-Chinese,Lunch,Non-Vegetarian,"Noodles, Vegetables, Schezwan Sauce",157,40,Hard,Restaurant-Special
M1338,Idli Sambar,South Indian,Snack,Vegan,"Rice, Lentils, Vegetables",538,32,Hard,Festive
